index,partition,label,gloss,original_filename
0,train,37,computer,
1,train,37,computer,
2,train,37,computer,
3,train,37,computer,
4,train,37,computer,
5,train,37,computer,
6,train,37,computer,
7,train,37,computer,
8,train,37,computer,
9,train,37,computer,
10,train,37,computer,
11,train,37,computer,
12,train,37,computer,
13,train,37,computer,
14,train,39,cousin,
15,train,39,cousin,
16,train,39,cousin,
17,train,39,cousin,
18,train,39,cousin,
19,train,39,cousin,
20,train,39,cousin,
21,train,39,cousin,
22,train,39,cousin,
23,train,39,cousin,
24,train,39,cousin,
25,train,39,cousin,
26,train,39,cousin,
27,train,39,cousin,
28,train,48,help,
29,train,48,help,
30,train,48,help,
31,train,48,help,
32,train,48,help,
33,train,48,help,
34,train,48,help,
35,train,48,help,
36,train,48,help,
37,train,48,help,
38,train,48,help,
39,train,48,help,
40,train,48,help,
41,train,48,help,
42,train,71,who,
43,train,71,who,
44,train,71,who,
45,train,71,who,
46,train,71,who,
47,train,71,who,
48,train,71,who,
49,train,71,who,
50,train,71,who,
51,train,71,who,
52,train,71,who,
53,train,71,who,
54,train,71,who,
55,train,71,who,
56,train,24,accident,
57,train,24,accident,
58,train,24,accident,
59,train,24,accident,
60,train,24,accident,
61,train,24,accident,
62,train,24,accident,
63,train,24,accident,
64,train,24,accident,
65,train,24,accident,
66,train,24,accident,
67,train,24,accident,
68,train,24,accident,
69,train,28,bed,
70,train,28,bed,
71,train,28,bed,
72,train,28,bed,
73,train,28,bed,
74,train,28,bed,
75,train,28,bed,
76,train,28,bed,
77,train,28,bed,
78,train,28,bed,
79,train,28,bed,
80,train,28,bed,
81,train,28,bed,
82,train,29,bowling,
83,train,29,bowling,
84,train,29,bowling,
85,train,29,bowling,
86,train,29,bowling,
87,train,29,bowling,
88,train,29,bowling,
89,train,29,bowling,
90,train,29,bowling,
91,train,29,bowling,
92,train,29,bowling,
93,train,29,bowling,
94,train,29,bowling,
95,train,32,candy,
96,train,32,candy,
97,train,32,candy,
98,train,32,candy,
99,train,32,candy,
100,train,32,candy,
101,train,32,candy,
102,train,32,candy,
103,train,32,candy,
104,train,32,candy,
105,train,32,candy,
106,train,32,candy,
107,train,32,candy,
108,train,62,short,
109,train,62,short,
